SID,PID,Source,Permission
EthiopiaAm50,1,Estonians,Public
EthiopiaAm52,1,Estonians,Public
EthiopiaAm58,1,Estonians,Public
EthiopiaAm59,1,Estonians,Public
EthiopiaAm76,1,Estonians,Public
EthiopiaAm77,1,Estonians,Public
EthiopiaAm78,1,Estonians,Public
EthiopiaOr41c,2,Estonians,Public
EthiopiaOr42a,2,Estonians,Public
EthiopiaOr44b,2,Estonians,Public
EthiopiaOr45a,2,Estonians,Public
EthiopiaOr48,2,Estonians,Public
EthiopiaOr48c,2,Estonians,Public
EthiopiaOr53b,2,Estonians,Public
EthiopiaTi5,335,Estonians,Public
EthiopiaTi61,335,Estonians,Public
EthiopiaTi63,335,Estonians,Public
EthiopiaTi69,335,Estonians,Public
EthiopiaTi7,335,Estonians,Public
moroccoA121,6,Estonians,Public
moroccoA57,6,Estonians,Public
moroccoA62,6,Estonians,Public
moroccoA98,6,Estonians,Public
moroccoB17,6,Estonians,Public
moroccoB93,6,Estonians,Public
moroccoC60,6,Estonians,Public
moroccoC61,6,Estonians,Public
moroccoE21,6,Estonians,Public
moroccoE28,6,Estonians,Public
Egypt1,331,Estonians,Public
Egypt10,331,Estonians,Public
Egypt11,331,Estonians,Public
Egypt12,331,Estonians,Public
Egypt2,331,Estonians,Public
Egypt3,331,Estonians,Public
Egypt4,331,Estonians,Public
Egypt5,331,Estonians,Public
Egypt6,331,Estonians,Public
Egypt7,331,Estonians,Public
Egypt8,331,Estonians,Public
Egypt9,331,Estonians,Public
GRC12118083,8,Estonians,Public
GRC12118084,8,Estonians,Public
GRC12118127,8,Estonians,Public
GRC12118120,8,Estonians,Public
GRC12118126,8,Estonians,Public
GRC12118110,8,Estonians,Public
saudi1403,10,Estonians,Public
saudi1411,10,Estonians,Public
saudi1413,10,Estonians,Public
saudi1424,10,Estonians,Public
saudi1426,10,Estonians,Public
saudi1428b,10,Estonians,Public
saudi1430,10,Estonians,Public
saudi1432,10,Estonians,Public
saudi1434,10,Estonians,Public
saudi1436,10,Estonians,Public
SaudiA1,10,Estonians,Public
SaudiA10,10,Estonians,Public
SaudiA2,10,Estonians,Public
SaudiA3,10,Estonians,Public
SaudiA4,10,Estonians,Public
SaudiA5,10,Estonians,Public
SaudiA6,10,Estonians,Public
SaudiA7,10,Estonians,Public
SaudiA8,10,Estonians,Public
SaudiA9,10,Estonians,Public
Yemen1,11,Estonians,Public
Yemen10,11,Estonians,Public
Yemen2,11,Estonians,Public
Yemen3,11,Estonians,Public
Yemen4,11,Estonians,Public
Yemen5,11,Estonians,Public
Yemen6,11,Estonians,Public
Yemen7,11,Estonians,Public
Yemen8,11,Estonians,Public
Yemen9,11,Estonians,Public
Jordan214,15,Estonians,Public
Jordan305,15,Estonians,Public
Jordan307,15,Estonians,Public
Jordan382,15,Estonians,Public
Jordan384,15,Estonians,Public
Jordan387,15,Estonians,Public
Jordan426,15,Estonians,Public
Jordan444,15,Estonians,Public
Jordan445,15,Estonians,Public
Jordan485,15,Estonians,Public
Jordan502,15,Estonians,Public
Jordan503,15,Estonians,Public
Jordan543,15,Estonians,Public
Jordan546,15,Estonians,Public
Jordan560,15,Estonians,Public
Jordan563,15,Estonians,Public
Jordan603,15,Estonians,Public
Jordan608,15,Estonians,Public
Jordan62,15,Estonians,Public
Jordan646,15,Estonians,Public
syria1,16,Estonians,Public
syria10,16,Estonians,Public
syria2,16,Estonians,Public
syria298,16,Estonians,Public
syria3,16,Estonians,Public
syria361,16,Estonians,Public
syria4,16,Estonians,Public
syria461,16,Estonians,Public
syria464,16,Estonians,Public
syria485,16,Estonians,Public
syria5,16,Estonians,Public
syria520,16,Estonians,Public
syria6,16,Estonians,Public
syria7,16,Estonians,Public
syria8,16,Estonians,Public
syria9,16,Estonians,Public
Lebanon1,17,Estonians,Public
Lebanon2,17,Estonians,Public
Lebanon3,17,Estonians,Public
Lebanon4,17,Estonians,Public
Lebanon5,17,Estonians,Public
Lebanon6,17,Estonians,Public
Lebanon7,17,Estonians,Public
Lebanon8,17,Estonians,Public
GRC12118093,8,Estonians,Public
GRC12118099,8,Estonians,Public
