SID,PID,Source,Permission
EthiopiaAm50,1.0,Estonians,Public
EthiopiaAm52,1.0,Estonians,Public
EthiopiaAm58,1.0,Estonians,Public
EthiopiaAm59,1.0,Estonians,Public
EthiopiaAm76,1.0,Estonians,Public
EthiopiaAm77,1.0,Estonians,Public
EthiopiaAm78,1.0,Estonians,Public
EthiopiaOr41c,2.0,Estonians,Public
EthiopiaOr42a,2.0,Estonians,Public
EthiopiaOr44b,2.0,Estonians,Public
EthiopiaOr45a,2.0,Estonians,Public
EthiopiaOr48,2.0,Estonians,Public
EthiopiaOr48c,2.0,Estonians,Public
EthiopiaOr53b,2.0,Estonians,Public
EthiopiaTi5,3.0,Estonians,Public
EthiopiaTi61,3.0,Estonians,Public
EthiopiaTi63,3.0,Estonians,Public
EthiopiaTi69,3.0,Estonians,Public
EthiopiaTi7,3.0,Estonians,Public
GRC12118113,4.0,Estonians,Public
GRC12118119,4.0,Estonians,Public
GRC12118092,4.0,Estonians,Public
eth_jew1,5.0,Estonians,Public
eth_jew10,5.0,Estonians,Public
eth_jew11,5.0,Estonians,Public
eth_jew12,5.0,Estonians,Public
eth_jew13,5.0,Estonians,Public
eth_jew14,5.0,Estonians,Public
eth_jew2,5.0,Estonians,Public
eth_jew3,5.0,Estonians,Public
eth_jew5,5.0,Estonians,Public
eth_jew6,5.0,Estonians,Public
eth_jew7,5.0,Estonians,Public
eth_jew8,5.0,Estonians,Public
moroccoA121,6.0,Estonians,Public
moroccoA57,6.0,Estonians,Public
moroccoA62,6.0,Estonians,Public
moroccoA98,6.0,Estonians,Public
moroccoB17,6.0,Estonians,Public
moroccoB93,6.0,Estonians,Public
moroccoC60,6.0,Estonians,Public
moroccoC61,6.0,Estonians,Public
moroccoE21,6.0,Estonians,Public
moroccoE28,6.0,Estonians,Public
Egypt1,7.0,Estonians,Public
Egypt10,7.0,Estonians,Public
Egypt11,7.0,Estonians,Public
Egypt12,7.0,Estonians,Public
Egypt2,7.0,Estonians,Public
Egypt3,7.0,Estonians,Public
Egypt4,7.0,Estonians,Public
Egypt5,7.0,Estonians,Public
Egypt6,7.0,Estonians,Public
Egypt7,7.0,Estonians,Public
Egypt8,7.0,Estonians,Public
Egypt9,7.0,Estonians,Public
GRC12118083,8.0,Estonians,Public
GRC12118084,8.0,Estonians,Public
GRC12118127,8.0,Estonians,Public
GRC12118120,9.0,Estonians,Public
GRC12118126,9.0,Estonians,Public
GRC12118110,9.0,Estonians,Public
saudi1403,10.0,Estonians,Public
saudi1411,10.0,Estonians,Public
saudi1413,10.0,Estonians,Public
saudi1424,10.0,Estonians,Public
saudi1426,10.0,Estonians,Public
saudi1428b,10.0,Estonians,Public
saudi1430,10.0,Estonians,Public
saudi1432,10.0,Estonians,Public
saudi1434,10.0,Estonians,Public
saudi1436,10.0,Estonians,Public
SaudiA1,10.0,Estonians,Public
SaudiA10,10.0,Estonians,Public
SaudiA2,10.0,Estonians,Public
SaudiA3,10.0,Estonians,Public
SaudiA4,10.0,Estonians,Public
SaudiA5,10.0,Estonians,Public
SaudiA6,10.0,Estonians,Public
SaudiA7,10.0,Estonians,Public
SaudiA8,10.0,Estonians,Public
SaudiA9,10.0,Estonians,Public
Yemen1,11.0,Estonians,Public
Yemen10,11.0,Estonians,Public
Yemen2,11.0,Estonians,Public
Yemen3,11.0,Estonians,Public
Yemen4,11.0,Estonians,Public
Yemen5,11.0,Estonians,Public
Yemen6,11.0,Estonians,Public
Yemen7,11.0,Estonians,Public
Yemen8,11.0,Estonians,Public
Yemen9,11.0,Estonians,Public
GRC12118095,12.0,Estonians,Public
GRC12118086,12.0,Estonians,Public
GRC12118087,12.0,Estonians,Public
Yemen_Jew_1,13.0,Estonians,Public
Yemen_Jew_10,13.0,Estonians,Public
