SID,PID,Source,Permission
PI-AE-000042-1-01,668,HUGO,Private
PI-AE-000043-1-01,668,HUGO,Private
PI-AE-000046-1-01,668,HUGO,Private
PI-AE-000054-1-01,668,HUGO,Private
PI-AE-000067-1-01,668,HUGO,Private
PI-AE-000073-1-01,668,HUGO,Private
PI-AE-000075-1-01,668,HUGO,Private
PI-AE-000077-1-01,668,HUGO,Private
PI-AG-000002-1-01,659,HUGO,Private
PI-AG-000007-1-01,659,HUGO,Private
PI-AG-000016-1-01,659,HUGO,Private
PI-AG-000021-1-01,659,HUGO,Private
PI-AG-000023-1-01,659,HUGO,Private
PI-AG-000047-1-01,659,HUGO,Private
PI-AG-000055-1-01,659,HUGO,Private
PI-AG-000064-1-01,659,HUGO,Private
PI-AT-000003-1-01,651,HUGO,Private
PI-AT-000007-1-01,651,HUGO,Private
PI-AT-000010-1-01,651,HUGO,Private
PI-AT-000012-1-01,651,HUGO,Private
PI-AT-000015-1-01,651,HUGO,Private
PI-AT-000016-1-01,651,HUGO,Private
PI-AT-000017-1-01,651,HUGO,Private
PI-AT-000018-1-01,651,HUGO,Private
PI-AT-000019-1-01,651,HUGO,Private
PI-AT-000020-1-01,651,HUGO,Private
PI-AT-000021-1-01,651,HUGO,Private
PI-AT-000022-1-01,651,HUGO,Private
PI-AT-000024-1-01,651,HUGO,Private
PI-AT-000033-1-01,651,HUGO,Private
PI-AT-000034-1-01,651,HUGO,Private
PI-AT-000039-1-01,651,HUGO,Private
PI-AT-000040-1-01,651,HUGO,Private
PI-AT-000043-1-01,651,HUGO,Private
PI-AT-000044-1-01,651,HUGO,Private
PI-AT-000047-1-01,651,HUGO,Private
PI-AT-000055-1-01,651,HUGO,Private
PI-AT-000057-1-01,651,HUGO,Private
PI-AT-000058-1-01,651,HUGO,Private
PI-IR-000001-1-01,673,HUGO,Private
PI-IR-000010-1-01,673,HUGO,Private
PI-IR-000012-1-01,673,HUGO,Private
PI-IR-000017-1-01,673,HUGO,Private
PI-IR-000019-1-01,673,HUGO,Private
PI-IR-000021-1-01,673,HUGO,Private
PI-IR-000022-1-01,673,HUGO,Private
PI-IR-000023-1-01,673,HUGO,Private
PI-IR-000024-1-01,673,HUGO,Private
PI-MA-000001-1-01,662,HUGO,Private
PI-MA-000003-1-01,662,HUGO,Private
PI-MA-000006-1-01,662,HUGO,Private
PI-MA-000012-1-01,662,HUGO,Private
PI-MA-000018-1-01,662,HUGO,Private
PI-MA-000021-1-01,662,HUGO,Private
PI-MA-000025-1-01,662,HUGO,Private
PI-MA-000031-1-01,662,HUGO,Private
PI-MA-000032-1-01,662,HUGO,Private
PI-MA-000033-1-01,662,HUGO,Private
PI-MA-000037-1-01,662,HUGO,Private
PI-MA-000048-1-01,662,HUGO,Private
PI-MA-000054-1-01,662,HUGO,Private
PI-MA-000063-1-01,662,HUGO,Private
PI-MA-000064-1-01,662,HUGO,Private
PI-MA-000066-1-01,662,HUGO,Private
PI-MA-000067-1-01,662,HUGO,Private
PI-MA-000077-1-01,662,HUGO,Private
PI-MW-000001-1-01,663,HUGO,Private
PI-MW-000003-1-01,663,HUGO,Private
PI-MW-000004-1-01,663,HUGO,Private
PI-MW-000006-1-01,663,HUGO,Private
PI-MW-000007-1-01,663,HUGO,Private
PI-MW-000009-1-01,663,HUGO,Private
PI-MW-000010-1-01,663,HUGO,Private
PI-MW-000011-1-01,663,HUGO,Private
PI-MW-000012-1-01,663,HUGO,Private
PI-MW-000013-1-01,663,HUGO,Private
PI-MW-000016-1-01,663,HUGO,Private
PI-MW-000021-1-01,663,HUGO,Private
PI-MW-000022-1-01,663,HUGO,Private
PI-MW-000025-1-01,663,HUGO,Private
PI-MW-000027-1-01,663,HUGO,Private
PI-MW-000028-1-01,663,HUGO,Private
PI-MW-000029-1-01,663,HUGO,Private
PI-MW-000044-1-01,663,HUGO,Private
PI-MW-000045-1-01,663,HUGO,Private
PI-UB-000001-1-01,677,HUGO,Private
PI-UB-000003-1-01,677,HUGO,Private
PI-UB-000004-1-01,677,HUGO,Private
PI-UB-000013-1-01,677,HUGO,Private
PI-UB-000023-1-01,677,HUGO,Private
PI-UB-000041-1-01,677,HUGO,Private
PI-UB-000051-1-01,677,HUGO,Private
PI-UB-000060-1-01,677,HUGO,Private
PI-UB-000064-1-01,677,HUGO,Private
PI-UB-000067-1-01,677,HUGO,Private
PI-UB-000069-1-01,677,HUGO,Private
PI-UB-000072-1-01,677,HUGO,Private
PI-UB-000073-1-01,677,HUGO,Private
PI-UB-000074-1-01,677,HUGO,Private
PI-UB-000077-1-01,677,HUGO,Private
PI-UB-000079-1-01,677,HUGO,Private
PI-UB-000083-1-01,677,HUGO,Private
PI-UB-000084-1-01,677,HUGO,Private
PI-UB-000085-1-01,677,HUGO,Private
PI-UB-000086-1-01,677,HUGO,Private
PI-UI-000131-1-01,675,HUGO,Private
PI-UI-000133-1-01,675,HUGO,Private
PI-UI-000139-1-01,675,HUGO,Private
PI-UI-000148-1-01,675,HUGO,Private
PI-UI-000150-1-01,675,HUGO,Private
PI-UI-000151-1-01,675,HUGO,Private
PI-UI-000157-1-01,675,HUGO,Private
PI-UI-000169-1-01,675,HUGO,Private
PI-UI-000173-1-01,675,HUGO,Private
PI-UI-000218-1-01,675,HUGO,Private
PI-UI-000222-1-01,675,HUGO,Private
PI-UI-000233-1-01,675,HUGO,Private
PI-UI-000234-1-01,675,HUGO,Private
PI-UI-000235-1-01,675,HUGO,Private
PI-UI-000238-1-01,675,HUGO,Private
PI-UI-000240-1-01,675,HUGO,Private
PI-UI-000241-1-01,675,HUGO,Private
PI-UI-000246-1-01,675,HUGO,Private
PI-UI-000249-1-01,675,HUGO,Private
PI-UI-000254-1-01,675,HUGO,Private
PI-UN-000001-1-01,676,HUGO,Private
