SID,PID,Source,Permission
SA1004,360.0,LAZARIDIS,Private_Demo
SA063,360.0,LAZARIDIS,Private_Demo
SA010,360.0,LAZARIDIS,Private_Demo
SA064,360.0,LAZARIDIS,Private_Demo
SA073,360.0,LAZARIDIS,Private_Demo
SA1025,360.0,LAZARIDIS,Private_Demo
SA078,360.0,LAZARIDIS,Private_Demo
SA083,360.0,LAZARIDIS,Private_Demo
BOT2.031,324.0,LAZARIDIS,Private_Demo
NAM188,355.0,LAZARIDIS,Private_Demo
BOT5.026,314.0,LAZARIDIS,Private_Demo
BOT5.030,315.0,LAZARIDIS,Private_Demo
BOT2.033,323.0,LAZARIDIS,Private_Demo
BOT2.038,324.0,LAZARIDIS,Private_Demo
NAM190,355.0,LAZARIDIS,Private_Demo
BOT5.034,314.0,LAZARIDIS,Private_Demo
BOT5.037,315.0,LAZARIDIS,Private_Demo
BOT2.043,323.0,LAZARIDIS,Private_Demo
BOT2.053,324.0,LAZARIDIS,Private_Demo
NAM191,355.0,LAZARIDIS,Private_Demo
NAM321,353.0,LAZARIDIS,Private_Demo
BOT2.044,323.0,LAZARIDIS,Private_Demo
BOT2.055,324.0,LAZARIDIS,Private_Demo
BOT6.264,314.0,LAZARIDIS,Private_Demo
NAM325,353.0,LAZARIDIS,Private_Demo
BOT2.058,324.0,LAZARIDIS,Private_Demo
BOT5.003,315.0,LAZARIDIS,Private_Demo
BOT6.106,323.0,LAZARIDIS,Private_Demo
BOT2.061,324.0,LAZARIDIS,Private_Demo
BOT6.016,322.0,LAZARIDIS,Private_Demo
BOT2.063,324.0,LAZARIDIS,Private_Demo
BOT5.015,315.0,LAZARIDIS,Private_Demo
BOT6.018,322.0,LAZARIDIS,Private_Demo
BOT2.022,324.0,LAZARIDIS,Private_Demo
Yuk_009,425.0,LAZARIDIS,Private_Demo
Yuk_025,425.0,LAZARIDIS,Private_Demo
Yuk_022,425.0,LAZARIDIS,Private_Demo
Yuk_020,425.0,LAZARIDIS,Private_Demo
MC_40,404.0,LAZARIDIS,Private_Demo
Yuk_024,425.0,LAZARIDIS,Private_Demo
Nesk_25,409.0,LAZARIDIS,Private_Demo
Yuk_023,425.0,LAZARIDIS,Private_Demo
MC_16,404.0,LAZARIDIS,Private_Demo
MC_15,404.0,LAZARIDIS,Private_Demo
MC_18,404.0,LAZARIDIS,Private_Demo
Yuk_004,425.0,LAZARIDIS,Private_Demo
MC_08,404.0,LAZARIDIS,Private_Demo
Nov_005,416.0,LAZARIDIS,Private_Demo
MC_25,404.0,LAZARIDIS,Private_Demo
Oj958,385.0,LAZARIDIS,Private_Demo
Yuk_019,425.0,LAZARIDIS,Private_Demo
Yuk_011,425.0,LAZARIDIS,Private_Demo
Nesk_22,409.0,LAZARIDIS,Private_Demo
Sesk_47,405.0,LAZARIDIS,Private_Demo
MC_17,404.0,LAZARIDIS,Private_Demo
Nesk_15,409.0,LAZARIDIS,Private_Demo
Yuk_021,425.0,LAZARIDIS,Private_Demo
MC_06,404.0,LAZARIDIS,Private_Demo
MC_38,404.0,LAZARIDIS,Private_Demo
MC_14,404.0,LAZARIDIS,Private_Demo
Nesk_23,409.0,LAZARIDIS,Private_Demo
Oj967,385.0,LAZARIDIS,Private_Demo
Oj968,385.0,LAZARIDIS,Private_Demo
Oj970,385.0,LAZARIDIS,Private_Demo
Oj985,385.0,LAZARIDIS,Private_Demo
Oj1131,385.0,LAZARIDIS,Private_Demo
Oj1136,385.0,LAZARIDIS,Private_Demo
Hadza001,366.0,LAZARIDIS,Private_Demo
Hadza002,366.0,LAZARIDIS,Private_Demo
Hadza003,366.0,LAZARIDIS,Private_Demo
Hadza004,366.0,LAZARIDIS,Private_Demo
Hadza005,366.0,LAZARIDIS,Private_Demo
Hadza006,366.0,LAZARIDIS,Private_Demo
Hadza007,366.0,LAZARIDIS,Private_Demo
Hadza008,366.0,LAZARIDIS,Private_Demo
Hadza010,366.0,LAZARIDIS,Private_Demo
Hadza011,366.0,LAZARIDIS,Private_Demo
Hadza012,366.0,LAZARIDIS,Private_Demo
Hadza013,366.0,LAZARIDIS,Private_Demo
Hadza016,366.0,LAZARIDIS,Private_Demo
Hadza017,366.0,LAZARIDIS,Private_Demo
Hadza018,366.0,LAZARIDIS,Private_Demo
Hadza019,366.0,LAZARIDIS,Private_Demo
Hadza020,366.0,LAZARIDIS,Private_Demo
Sandawe001,369.0,LAZARIDIS,Private_Demo
Sandawe002,369.0,LAZARIDIS,Private_Demo
Sandawe003,369.0,LAZARIDIS,Private_Demo
Sandawe005,369.0,LAZARIDIS,Private_Demo
Sandawe006,369.0,LAZARIDIS,Private_Demo
Sandawe007,369.0,LAZARIDIS,Private_Demo
Sandawe008,369.0,LAZARIDIS,Private_Demo
Sandawe009,369.0,LAZARIDIS,Private_Demo
Sandawe011,369.0,LAZARIDIS,Private_Demo
Sandawe012,369.0,LAZARIDIS,Private_Demo
Sandawe013,369.0,LAZARIDIS,Private_Demo
Sandawe014,369.0,LAZARIDIS,Private_Demo
Sandawe016,369.0,LAZARIDIS,Private_Demo
Sandawe018,369.0,LAZARIDIS,Private_Demo
Sandawe019,369.0,LAZARIDIS,Private_Demo
Sandawe020,369.0,LAZARIDIS,Private_Demo
Sandawe021,369.0,LAZARIDIS,Private_Demo
Sandawe022,369.0,LAZARIDIS,Private_Demo
Sandawe023,369.0,LAZARIDIS,Private_Demo
Sandawe024,369.0,LAZARIDIS,Private_Demo
Sandawe025,369.0,LAZARIDIS,Private_Demo
Sandawe027,369.0,LAZARIDIS,Private_Demo
Ul5,421.0,LAZARIDIS,Private_Demo
Ul31,421.0,LAZARIDIS,Private_Demo
Ul65,421.0,LAZARIDIS,Private_Demo
Tuba12,419.0,LAZARIDIS,Private_Demo
