SID,PID,Source,Permission
1,810,PASCHOU,Public
2,810,PASCHOU,Public
3,810,PASCHOU,Public
4,810,PASCHOU,Public
5,810,PASCHOU,Public
6,810,PASCHOU,Public
7,810,PASCHOU,Public
8,810,PASCHOU,Public
9,810,PASCHOU,Public
10,810,PASCHOU,Public
11,810,PASCHOU,Public
12,810,PASCHOU,Public
13,810,PASCHOU,Public
14,810,PASCHOU,Public
15,810,PASCHOU,Public
16,810,PASCHOU,Public
17,810,PASCHOU,Public
18,810,PASCHOU,Public
19,810,PASCHOU,Public
20,810,PASCHOU,Public
21,810,PASCHOU,Public
22,810,PASCHOU,Public
23,810,PASCHOU,Public
24,810,PASCHOU,Public
25,810,PASCHOU,Public
26,810,PASCHOU,Public
27,810,PASCHOU,Public
28,810,PASCHOU,Public
29,810,PASCHOU,Public
30,810,PASCHOU,Public
31,810,PASCHOU,Public
32,810,PASCHOU,Public
33,810,PASCHOU,Public
34,810,PASCHOU,Public
35,810,PASCHOU,Public
36,810,PASCHOU,Public
37,810,PASCHOU,Public
38,810,PASCHOU,Public
39,810,PASCHOU,Public
40,810,PASCHOU,Public
41,810,PASCHOU,Public
42,810,PASCHOU,Public
43,810,PASCHOU,Public
44,810,PASCHOU,Public
45,810,PASCHOU,Public
46,810,PASCHOU,Public
47,810,PASCHOU,Public
48,810,PASCHOU,Public
49,810,PASCHOU,Public
50,810,PASCHOU,Public
51,810,PASCHOU,Public
52,810,PASCHOU,Public
53,810,PASCHOU,Public
54,810,PASCHOU,Public
55,810,PASCHOU,Public
56,810,PASCHOU,Public
57,810,PASCHOU,Public
58,810,PASCHOU,Public
59,810,PASCHOU,Public
60,810,PASCHOU,Public
61,810,PASCHOU,Public
62,810,PASCHOU,Public
63,810,PASCHOU,Public
64,810,PASCHOU,Public
65,810,PASCHOU,Public
66,810,PASCHOU,Public
67,810,PASCHOU,Public
68,810,PASCHOU,Public
69,810,PASCHOU,Public
70,810,PASCHOU,Public
71,810,PASCHOU,Public
72,810,PASCHOU,Public
73,810,PASCHOU,Public
74,810,PASCHOU,Public
75,810,PASCHOU,Public
76,810,PASCHOU,Public
77,810,PASCHOU,Public
78,810,PASCHOU,Public
79,810,PASCHOU,Public
80,810,PASCHOU,Public
81,810,PASCHOU,Public
82,810,PASCHOU,Public
83,810,PASCHOU,Public
84,810,PASCHOU,Public
85,810,PASCHOU,Public
86,810,PASCHOU,Public
87,810,PASCHOU,Public
88,810,PASCHOU,Public
89,794,PASCHOU,Public
90,794,PASCHOU,Public
95,798,PASCHOU,Public
96,798,PASCHOU,Public
97,798,PASCHOU,Public
98,798,PASCHOU,Public
104,794,PASCHOU,Public
105,794,PASCHOU,Public
110,798,PASCHOU,Public
111,798,PASCHOU,Public
112,798,PASCHOU,Public
113,798,PASCHOU,Public
119,794,PASCHOU,Public
120,794,PASCHOU,Public
121,794,PASCHOU,Public
125,798,PASCHOU,Public
126,798,PASCHOU,Public
127,798,PASCHOU,Public
128,798,PASCHOU,Public
131,794,PASCHOU,Public
132,794,PASCHOU,Public
133,794,PASCHOU,Public
138,798,PASCHOU,Public
139,798,PASCHOU,Public
140,798,PASCHOU,Public
143,794,PASCHOU,Public
144,794,PASCHOU,Public
145,794,PASCHOU,Public
150,798,PASCHOU,Public
151,798,PASCHOU,Public
152,798,PASCHOU,Public
153,798,PASCHOU,Public
156,794,PASCHOU,Public
157,794,PASCHOU,Public
158,794,PASCHOU,Public
163,798,PASCHOU,Public
164,798,PASCHOU,Public
165,798,PASCHOU,Public
166,798,PASCHOU,Public
169,794,PASCHOU,Public
170,794,PASCHOU,Public
171,794,PASCHOU,Public
176,798,PASCHOU,Public
177,798,PASCHOU,Public
178,798,PASCHOU,Public
179,798,PASCHOU,Public
182,794,PASCHOU,Public
188,798,PASCHOU,Public
189,798,PASCHOU,Public
190,798,PASCHOU,Public
194,798,PASCHOU,Public
195,798,PASCHOU,Public
196,798,PASCHOU,Public
197,798,PASCHOU,Public
204,798,PASCHOU,Public
205,798,PASCHOU,Public
206,798,PASCHOU,Public
213,798,PASCHOU,Public
214,798,PASCHOU,Public
215,798,PASCHOU,Public
216,798,PASCHOU,Public
218,798,PASCHOU,Public
222,794,PASCHOU,Public
223,794,PASCHOU,Public
226,798,PASCHOU,Public
227,798,PASCHOU,Public
228,798,PASCHOU,Public
229,798,PASCHOU,Public
249,812,PASCHOU,Public
250,812,PASCHOU,Public
251,811,PASCHOU,Public
252,811,PASCHOU,Public
253,811,PASCHOU,Public
254,809,PASCHOU,Public
257,812,PASCHOU,Public
258,812,PASCHOU,Public
259,811,PASCHOU,Public
260,811,PASCHOU,Public
261,811,PASCHOU,Public
262,809,PASCHOU,Public
266,812,PASCHOU,Public
267,812,PASCHOU,Public
268,811,PASCHOU,Public
269,811,PASCHOU,Public
270,809,PASCHOU,Public
271,809,PASCHOU,Public
282,812,PASCHOU,Public
283,811,PASCHOU,Public
284,811,PASCHOU,Public
285,809,PASCHOU,Public
286,810,PASCHOU,Public
294,812,PASCHOU,Public
295,812,PASCHOU,Public
296,811,PASCHOU,Public
297,811,PASCHOU,Public
298,809,PASCHOU,Public
299,810,PASCHOU,Public
302,812,PASCHOU,Public
303,811,PASCHOU,Public
304,811,PASCHOU,Public
305,811,PASCHOU,Public
308,812,PASCHOU,Public
309,812,PASCHOU,Public
310,812,PASCHOU,Public
311,811,PASCHOU,Public
312,811,PASCHOU,Public
313,809,PASCHOU,Public
314,810,PASCHOU,Public
315,809,PASCHOU,Public
316,810,PASCHOU,Public
317,812,PASCHOU,Public
318,812,PASCHOU,Public
319,811,PASCHOU,Public
320,811,PASCHOU,Public
321,809,PASCHOU,Public
322,810,PASCHOU,Public
326,794,PASCHOU,Public
327,794,PASCHOU,Public
331,812,PASCHOU,Public
332,812,PASCHOU,Public
333,811,PASCHOU,Public
334,811,PASCHOU,Public
335,809,PASCHOU,Public
336,810,PASCHOU,Public
339,812,PASCHOU,Public
340,811,PASCHOU,Public
341,811,PASCHOU,Public
342,811,PASCHOU,Public
343,809,PASCHOU,Public
344,810,PASCHOU,Public
347,794,PASCHOU,Public
348,794,PASCHOU,Public
351,794,PASCHOU,Public
352,794,PASCHOU,Public
361,812,PASCHOU,Public
364,812,PASCHOU,Public
365,812,PASCHOU,Public
366,811,PASCHOU,Public
367,811,PASCHOU,Public
368,809,PASCHOU,Public
379,809,PASCHOU,Public
381,810,PASCHOU,Public
383,812,PASCHOU,Public
384,812,PASCHOU,Public
385,811,PASCHOU,Public
386,812,PASCHOU,Public
387,811,PASCHOU,Public
618,804,PASCHOU,Public
619,804,PASCHOU,Public
620,804,PASCHOU,Public
621,804,PASCHOU,Public
622,804,PASCHOU,Public
623,804,PASCHOU,Public
624,804,PASCHOU,Public
625,804,PASCHOU,Public
626,804,PASCHOU,Public
627,804,PASCHOU,Public
628,804,PASCHOU,Public
629,804,PASCHOU,Public
630,804,PASCHOU,Public
631,804,PASCHOU,Public
632,804,PASCHOU,Public
633,804,PASCHOU,Public
634,804,PASCHOU,Public
635,804,PASCHOU,Public
636,804,PASCHOU,Public
637,805,PASCHOU,Public
638,805,PASCHOU,Public
639,805,PASCHOU,Public
640,805,PASCHOU,Public
641,805,PASCHOU,Public
642,801,PASCHOU,Public
643,801,PASCHOU,Public
644,801,PASCHOU,Public
645,801,PASCHOU,Public
646,801,PASCHOU,Public
647,801,PASCHOU,Public
648,801,PASCHOU,Public
649,801,PASCHOU,Public
650,801,PASCHOU,Public
651,801,PASCHOU,Public
652,801,PASCHOU,Public
653,801,PASCHOU,Public
654,800,PASCHOU,Public
655,800,PASCHOU,Public
656,800,PASCHOU,Public
657,800,PASCHOU,Public
658,800,PASCHOU,Public
659,800,PASCHOU,Public
660,800,PASCHOU,Public
661,800,PASCHOU,Public
662,800,PASCHOU,Public
663,800,PASCHOU,Public
664,806,PASCHOU,Public
665,806,PASCHOU,Public
666,806,PASCHOU,Public
667,806,PASCHOU,Public
668,806,PASCHOU,Public
669,806,PASCHOU,Public
670,806,PASCHOU,Public
671,806,PASCHOU,Public
672,806,PASCHOU,Public
673,806,PASCHOU,Public
674,803,PASCHOU,Public
675,803,PASCHOU,Public
676,803,PASCHOU,Public
677,803,PASCHOU,Public
678,803,PASCHOU,Public
679,803,PASCHOU,Public
680,803,PASCHOU,Public
681,803,PASCHOU,Public
682,803,PASCHOU,Public
683,803,PASCHOU,Public
684,803,PASCHOU,Public
685,803,PASCHOU,Public
686,803,PASCHOU,Public
687,803,PASCHOU,Public
688,803,PASCHOU,Public
689,803,PASCHOU,Public
690,808,PASCHOU,Public
691,808,PASCHOU,Public
692,808,PASCHOU,Public
693,808,PASCHOU,Public
694,808,PASCHOU,Public
695,808,PASCHOU,Public
696,808,PASCHOU,Public
697,808,PASCHOU,Public
698,808,PASCHOU,Public
699,808,PASCHOU,Public
700,808,PASCHOU,Public
701,808,PASCHOU,Public
702,808,PASCHOU,Public
703,808,PASCHOU,Public
704,808,PASCHOU,Public
705,808,PASCHOU,Public
706,808,PASCHOU,Public
707,808,PASCHOU,Public
708,808,PASCHOU,Public
709,808,PASCHOU,Public
710,802,PASCHOU,Public
711,802,PASCHOU,Public
712,802,PASCHOU,Public
713,802,PASCHOU,Public
714,802,PASCHOU,Public
715,802,PASCHOU,Public
716,802,PASCHOU,Public
717,802,PASCHOU,Public
718,802,PASCHOU,Public
719,802,PASCHOU,Public
720,802,PASCHOU,Public
721,802,PASCHOU,Public
722,802,PASCHOU,Public
723,802,PASCHOU,Public
724,802,PASCHOU,Public
725,802,PASCHOU,Public
726,802,PASCHOU,Public
727,802,PASCHOU,Public
728,802,PASCHOU,Public
729,802,PASCHOU,Public
730,807,PASCHOU,Public
731,807,PASCHOU,Public
732,807,PASCHOU,Public
733,807,PASCHOU,Public
734,807,PASCHOU,Public
735,807,PASCHOU,Public
736,807,PASCHOU,Public
737,807,PASCHOU,Public
738,807,PASCHOU,Public
739,807,PASCHOU,Public
740,807,PASCHOU,Public
741,807,PASCHOU,Public
742,807,PASCHOU,Public
743,807,PASCHOU,Public
744,807,PASCHOU,Public
745,807,PASCHOU,Public
746,807,PASCHOU,Public
747,807,PASCHOU,Public
748,807,PASCHOU,Public
749,807,PASCHOU,Public
750,807,PASCHOU,Public
751,807,PASCHOU,Public
752,807,PASCHOU,Public
753,807,PASCHOU,Public
754,807,PASCHOU,Public
755,807,PASCHOU,Public
756,807,PASCHOU,Public
757,807,PASCHOU,Public
758,807,PASCHOU,Public
759,807,PASCHOU,Public
760,807,PASCHOU,Public
761,807,PASCHOU,Public
762,807,PASCHOU,Public
763,807,PASCHOU,Public
764,807,PASCHOU,Public
765,807,PASCHOU,Public
766,807,PASCHOU,Public
767,807,PASCHOU,Public
768,807,PASCHOU,Public
769,807,PASCHOU,Public
770,807,PASCHOU,Public
771,807,PASCHOU,Public
772,807,PASCHOU,Public
773,807,PASCHOU,Public
774,807,PASCHOU,Public
775,807,PASCHOU,Public
776,807,PASCHOU,Public
777,807,PASCHOU,Public
778,807,PASCHOU,Public
779,807,PASCHOU,Public
780,807,PASCHOU,Public
781,807,PASCHOU,Public
782,807,PASCHOU,Public
783,807,PASCHOU,Public
784,807,PASCHOU,Public
785,807,PASCHOU,Public
786,807,PASCHOU,Public
787,807,PASCHOU,Public
788,807,PASCHOU,Public
789,807,PASCHOU,Public
790,807,PASCHOU,Public
791,807,PASCHOU,Public
792,807,PASCHOU,Public
793,807,PASCHOU,Public
794,807,PASCHOU,Public
795,807,PASCHOU,Public
796,807,PASCHOU,Public
797,807,PASCHOU,Public
798,807,PASCHOU,Public
799,807,PASCHOU,Public
800,807,PASCHOU,Public
801,807,PASCHOU,Public
802,807,PASCHOU,Public
803,807,PASCHOU,Public
804,807,PASCHOU,Public
805,807,PASCHOU,Public
806,807,PASCHOU,Public
807,807,PASCHOU,Public
808,807,PASCHOU,Public
809,807,PASCHOU,Public
810,807,PASCHOU,Public
811,807,PASCHOU,Public
812,807,PASCHOU,Public
813,807,PASCHOU,Public
814,807,PASCHOU,Public
815,807,PASCHOU,Public
816,807,PASCHOU,Public
817,807,PASCHOU,Public
818,807,PASCHOU,Public
819,807,PASCHOU,Public
820,795,PASCHOU,Public
821,795,PASCHOU,Public
822,795,PASCHOU,Public
823,795,PASCHOU,Public
824,795,PASCHOU,Public
825,795,PASCHOU,Public
826,795,PASCHOU,Public
827,795,PASCHOU,Public
828,795,PASCHOU,Public
829,795,PASCHOU,Public
830,795,PASCHOU,Public
831,795,PASCHOU,Public
832,795,PASCHOU,Public
833,795,PASCHOU,Public
834,795,PASCHOU,Public
835,795,PASCHOU,Public
