SID,PID,Source,Permission
46457,569,POPRES,Private
11866,578,POPRES,Private
44017,567,POPRES,Private
46856,578,POPRES,Private
47213,571,POPRES,Private
13522,576,POPRES,Private
45879,577,POPRES,Private
24396,571,POPRES,Private
41113,565,POPRES,Private
47069,578,POPRES,Private
40426,567,POPRES,Private
39172,567,POPRES,Private
9411,565,POPRES,Private
46373,591,POPRES,Private
46418,572,POPRES,Private
35823,576,POPRES,Private
45202,565,POPRES,Private
47101,569,POPRES,Private
4826,571,POPRES,Private
38662,569,POPRES,Private
40920,567,POPRES,Private
10992,572,POPRES,Private
13856,567,POPRES,Private
19687,569,POPRES,Private
4539,565,POPRES,Private
10438,572,POPRES,Private
11180,578,POPRES,Private
18476,567,POPRES,Private
37706,567,POPRES,Private
16210,567,POPRES,Private
72,567,POPRES,Private
37348,565,POPRES,Private
28749,575,POPRES,Private
46982,572,POPRES,Private
39886,579,POPRES,Private
37502,572,POPRES,Private
1907,569,POPRES,Private
10923,571,POPRES,Private
25668,598,POPRES,Private
30250,591,POPRES,Private
25689,569,POPRES,Private
32006,567,POPRES,Private
37439,577,POPRES,Private
20938,575,POPRES,Private
32103,571,POPRES,Private
17669,585,POPRES,Private
46577,580,POPRES,Private
24512,582,POPRES,Private
12188,569,POPRES,Private
7568,569,POPRES,Private
48993,567,POPRES,Private
35552,565,POPRES,Private
8658,567,POPRES,Private
13988,565,POPRES,Private
5624,572,POPRES,Private
24834,580,POPRES,Private
18959,577,POPRES,Private
34936,569,POPRES,Private
33069,565,POPRES,Private
40541,567,POPRES,Private
10313,580,POPRES,Private
8670,577,POPRES,Private
4707,600,POPRES,Private
35736,580,POPRES,Private
40063,572,POPRES,Private
18188,565,POPRES,Private
927,569,POPRES,Private
8472,572,POPRES,Private
32395,590,POPRES,Private
22360,569,POPRES,Private
8609,565,POPRES,Private
10364,572,POPRES,Private
20294,596,POPRES,Private
5024,569,POPRES,Private
12875,569,POPRES,Private
37254,569,POPRES,Private
2164,565,POPRES,Private
44633,565,POPRES,Private
24910,571,POPRES,Private
41934,578,POPRES,Private
8059,569,POPRES,Private
24231,599,POPRES,Private
24499,565,POPRES,Private
46831,572,POPRES,Private
36141,569,POPRES,Private
8820,569,POPRES,Private
45489,567,POPRES,Private
31478,569,POPRES,Private
39319,596,POPRES,Private
4237,569,POPRES,Private
1311,569,POPRES,Private
3316,568,POPRES,Private
29864,588,POPRES,Private
26297,569,POPRES,Private
33658,575,POPRES,Private
32093,578,POPRES,Private
34751,575,POPRES,Private
30705,571,POPRES,Private
20323,572,POPRES,Private
44942,567,POPRES,Private
46712,572,POPRES,Private
35450,569,POPRES,Private
34763,572,POPRES,Private
32994,572,POPRES,Private
43090,572,POPRES,Private
34811,565,POPRES,Private
35580,592,POPRES,Private
26524,569,POPRES,Private
28170,569,POPRES,Private
31931,567,POPRES,Private
42760,565,POPRES,Private
24735,567,POPRES,Private
14866,572,POPRES,Private
42181,591,POPRES,Private
39457,569,POPRES,Private
40677,569,POPRES,Private
18337,569,POPRES,Private
26062,572,POPRES,Private
16821,569,POPRES,Private
3685,575,POPRES,Private
48974,588,POPRES,Private
1523,565,POPRES,Private
9838,565,POPRES,Private
752,568,POPRES,Private
35527,569,POPRES,Private
33746,582,POPRES,Private
28137,571,POPRES,Private
911,569,POPRES,Private
26995,569,POPRES,Private
49237,567,POPRES,Private
28611,592,POPRES,Private
27788,569,POPRES,Private
32595,577,POPRES,Private
7290,569,POPRES,Private
38731,569,POPRES,Private
29802,572,POPRES,Private
40709,586,POPRES,Private
15839,569,POPRES,Private
6429,567,POPRES,Private
13720,567,POPRES,Private
2676,565,POPRES,Private
28959,569,POPRES,Private
30204,567,POPRES,Private
14603,572,POPRES,Private
45019,565,POPRES,Private
44894,565,POPRES,Private
25655,569,POPRES,Private
21593,565,POPRES,Private
35010,567,POPRES,Private
38066,592,POPRES,Private
17614,580,POPRES,Private
18083,582,POPRES,Private
47459,569,POPRES,Private
20892,575,POPRES,Private
48224,569,POPRES,Private
30553,567,POPRES,Private
41496,569,POPRES,Private
13912,577,POPRES,Private
5714,565,POPRES,Private
14146,569,POPRES,Private
9524,565,POPRES,Private
42880,572,POPRES,Private
27117,569,POPRES,Private
40584,569,POPRES,Private
32446,567,POPRES,Private
48538,569,POPRES,Private
30212,569,POPRES,Private
14571,571,POPRES,Private
22045,567,POPRES,Private
28646,569,POPRES,Private
27833,577,POPRES,Private
35215,797,POPRES,Private
25244,586,POPRES,Private
9876,575,POPRES,Private
23648,580,POPRES,Private
15178,569,POPRES,Private
5703,577,POPRES,Private
16174,577,POPRES,Private
10049,568,POPRES,Private
21022,569,POPRES,Private
25439,572,POPRES,Private
17890,565,POPRES,Private
34595,569,POPRES,Private
997,576,POPRES,Private
4754,569,POPRES,Private
31341,569,POPRES,Private
22257,565,POPRES,Private
10045,575,POPRES,Private
6672,569,POPRES,Private
46671,569,POPRES,Private
42207,568,POPRES,Private
46349,569,POPRES,Private
5849,569,POPRES,Private
14213,576,POPRES,Private
32394,586,POPRES,Private
41140,571,POPRES,Private
24432,581,POPRES,Private
48361,569,POPRES,Private
19056,575,POPRES,Private
24879,575,POPRES,Private
4104,586,POPRES,Private
38469,568,POPRES,Private
47561,569,POPRES,Private
21527,578,POPRES,Private
31014,569,POPRES,Private
38928,569,POPRES,Private
6173,568,POPRES,Private
35243,569,POPRES,Private
21126,569,POPRES,Private
36321,569,POPRES,Private
25999,569,POPRES,Private
7741,569,POPRES,Private
3404,569,POPRES,Private
29493,569,POPRES,Private
14138,571,POPRES,Private
18529,569,POPRES,Private
25824,569,POPRES,Private
26381,575,POPRES,Private
25832,567,POPRES,Private
7000,565,POPRES,Private
935,567,POPRES,Private
11526,572,POPRES,Private
21716,569,POPRES,Private
12952,569,POPRES,Private
4529,569,POPRES,Private
45298,569,POPRES,Private
24523,569,POPRES,Private
268,572,POPRES,Private
13883,572,POPRES,Private
39496,565,POPRES,Private
41883,569,POPRES,Private
21635,569,POPRES,Private
6993,569,POPRES,Private
109,565,POPRES,Private
44500,571,POPRES,Private
4719,567,POPRES,Private
47503,569,POPRES,Private
45750,567,POPRES,Private
18545,571,POPRES,Private
38983,565,POPRES,Private
23328,569,POPRES,Private
15139,569,POPRES,Private
13634,569,POPRES,Private
4854,570,POPRES,Private
44366,567,POPRES,Private
33074,569,POPRES,Private
46157,569,POPRES,Private
15319,569,POPRES,Private
19122,569,POPRES,Private
34385,569,POPRES,Private
38875,569,POPRES,Private
2623,569,POPRES,Private
49413,569,POPRES,Private
15496,577,POPRES,Private
49210,567,POPRES,Private
48477,569,POPRES,Private
36415,578,POPRES,Private
12324,569,POPRES,Private
8709,568,POPRES,Private
37210,567,POPRES,Private
32956,569,POPRES,Private
16549,569,POPRES,Private
29969,569,POPRES,Private
49849,569,POPRES,Private
9177,569,POPRES,Private
27628,569,POPRES,Private
41037,569,POPRES,Private
35076,569,POPRES,Private
45968,569,POPRES,Private
44088,571,POPRES,Private
27592,570,POPRES,Private
11947,575,POPRES,Private
22675,577,POPRES,Private
11055,569,POPRES,Private
12158,569,POPRES,Private
9337,569,POPRES,Private
24957,571,POPRES,Private
24765,569,POPRES,Private
2433,569,POPRES,Private
32572,569,POPRES,Private
45769,583,POPRES,Private
31487,572,POPRES,Private
44143,576,POPRES,Private
18543,569,POPRES,Private
18278,567,POPRES,Private
2224,571,POPRES,Private
26790,570,POPRES,Private
35195,569,POPRES,Private
46409,567,POPRES,Private
5123,572,POPRES,Private
39357,569,POPRES,Private
31156,569,POPRES,Private
22834,570,POPRES,Private
13940,569,POPRES,Private
25680,569,POPRES,Private
48583,569,POPRES,Private
1575,569,POPRES,Private
47472,569,POPRES,Private
31420,572,POPRES,Private
47521,568,POPRES,Private
35683,570,POPRES,Private
19137,565,POPRES,Private
49403,569,POPRES,Private
32458,569,POPRES,Private
31932,569,POPRES,Private
33104,565,POPRES,Private
14625,565,POPRES,Private
27257,569,POPRES,Private
2232,569,POPRES,Private
40750,567,POPRES,Private
38616,569,POPRES,Private
1718,567,POPRES,Private
7760,569,POPRES,Private
9926,569,POPRES,Private
2431,581,POPRES,Private
25876,569,POPRES,Private
15499,569,POPRES,Private
4292,569,POPRES,Private
24955,567,POPRES,Private
10138,569,POPRES,Private
12367,569,POPRES,Private
7225,569,POPRES,Private
23315,573,POPRES,Private
30724,572,POPRES,Private
16823,567,POPRES,Private
40507,569,POPRES,Private
19411,569,POPRES,Private
14815,569,POPRES,Private
21682,569,POPRES,Private
49013,570,POPRES,Private
38148,567,POPRES,Private
40528,569,POPRES,Private
26544,571,POPRES,Private
17878,569,POPRES,Private
4749,569,POPRES,Private
13645,569,POPRES,Private
15045,575,POPRES,Private
40123,569,POPRES,Private
28361,569,POPRES,Private
13048,569,POPRES,Private
35139,569,POPRES,Private
6316,569,POPRES,Private
10955,569,POPRES,Private
31186,572,POPRES,Private
600,569,POPRES,Private
2774,591,POPRES,Private
16483,569,POPRES,Private
13712,569,POPRES,Private
32279,569,POPRES,Private
