SID,PID,Source,Permission
0101_F045400_20080721.CEL,605.0,XING,Public
0102_F045403_20080721.CEL,605.0,XING,Public
0103_F045415_20080721.CEL,605.0,XING,Public
0104_F045434_20080721.CEL,605.0,XING,Public
0105_F045438_20080721.CEL,605.0,XING,Public
0106_F045452_20080721.CEL,605.0,XING,Public
0107_F045455_20080721.CEL,605.0,XING,Public
0108_F054732_20080721.CEL,605.0,XING,Public
0109_F054776_20080721.CEL,605.0,XING,Public
0110_F055505_20080721.CEL,605.0,XING,Public
0112_F055575_20080721.CEL,605.0,XING,Public
0113_F055584_20080721.CEL,605.0,XING,Public
0114_F055591_20080721.CEL,605.0,XING,Public
0115_F055901_20080721.CEL,605.0,XING,Public
0117_F056709_20080721.CEL,605.0,XING,Public
0119_F056820_20080721.CEL,605.0,XING,Public
0120_F056855_20080721.CEL,605.0,XING,Public
0138_F054756_20080807.CEL,605.0,XING,Public
0139_F054771_20080807.CEL,605.0,XING,Public
0140_F054779_20080807.CEL,605.0,XING,Public
0141_F056858_20080807.CEL,605.0,XING,Public
0181_F055968_20080820.CEL,605.0,XING,Public
0215_F055906_20080903.CEL,605.0,XING,Public
0216_F063319_20080903.CEL,605.0,XING,Public
0411_F055894_20090129.CEL,605.0,XING,Public
0270_F065040_20081031.CEL,606.0,XING,Public
0271_F065038_20081031.CEL,606.0,XING,Public
0272_F065081_20081031.CEL,606.0,XING,Public
0273_F065091_20081031.CEL,606.0,XING,Public
0274_F065101_20081031.CEL,606.0,XING,Public
0275_F065105_20081031.CEL,606.0,XING,Public
0276_F067928_20081031.CEL,606.0,XING,Public
0277_F067937_20081031.CEL,606.0,XING,Public
0278_F080817_20081031.CEL,606.0,XING,Public
0279_F080869_20081031.CEL,606.0,XING,Public
0280_F080860_20081031.CEL,606.0,XING,Public
0281_F080792_20081031.CEL,606.0,XING,Public
0282_F080853_20081031.CEL,606.0,XING,Public
0298_F067947_20081031.CEL,606.0,XING,Public
0299_F068184_20081031.CEL,606.0,XING,Public
0300_F068172_20081031.CEL,606.0,XING,Public
0415_F068237_20090218.CEL,606.0,XING,Public
0416_F073458_20090218.CEL,606.0,XING,Public
0417_F073415_20090218.CEL,606.0,XING,Public
0418_F073455_20090218.CEL,606.0,XING,Public
0419_F073421_20090218.CEL,606.0,XING,Public
0420_F073413_20090218.CEL,606.0,XING,Public
0421_F073445_20090218.CEL,606.0,XING,Public
0422_F065054_20090218.CEL,606.0,XING,Public
0423_F065042_20090218.CEL,606.0,XING,Public
0121_F058472_20080721.CEL,610.0,XING,Public
0122_F058413_20080721.CEL,610.0,XING,Public
0123_F058510_20080721.CEL,610.0,XING,Public
0124_F058379_20080721.CEL,610.0,XING,Public
0125_F058421_20080721.CEL,610.0,XING,Public
0126_F058498_20080721.CEL,610.0,XING,Public
0127_F058500_20080721.CEL,610.0,XING,Public
0128_F058426_20080721.CEL,610.0,XING,Public
0129_F058446_20080721.CEL,610.0,XING,Public
0130_F058387_20080721.CEL,610.0,XING,Public
0131_F058517_20080721.CEL,610.0,XING,Public
0132_F058454_20080721.CEL,610.0,XING,Public
0133_F058436_20080721.CEL,610.0,XING,Public
0134_F058364_20080721.CEL,610.0,XING,Public
0135_F058383_20080721.CEL,610.0,XING,Public
0136_F058369_20080721.CEL,610.0,XING,Public
0137_F058373_20080721.CEL,610.0,XING,Public
0142_F058391_20080807.CEL,610.0,XING,Public
0143_F058366_20080807.CEL,610.0,XING,Public
0144_F058495_20080807.CEL,610.0,XING,Public
0145_F058465_20080807.CEL,610.0,XING,Public
0146_F058431_20080807.CEL,610.0,XING,Public
0151_F058399_20080807.CEL,610.0,XING,Public
0162_F058451_20080820.CEL,610.0,XING,Public
0163_F058494_20080820.CEL,610.0,XING,Public
0041_HAR1_20080630.CEL,,XING,Public
0042_HAR2_20080630.CEL,,XING,Public
0043_HAR3_20080630.CEL,,XING,Public
0044_HAR4_20080630.CEL,,XING,Public
0045_HAR5_20080630.CEL,,XING,Public
0046_HAR6_20080630.CEL,,XING,Public
0047_HAR7_20080630.CEL,,XING,Public
0048_HAR8_20080630.CEL,,XING,Public
0049_HAR9_20080630.CEL,,XING,Public
0050_HAR10_20080630.CEL,,XING,Public
0051_HAR11_20080630.CEL,,XING,Public
0052_HAR12_20080630.CEL,,XING,Public
0053_HAR14_20080630.CEL,,XING,Public
0027_TBR1_20080630.CEL,,XING,Public
0028_TBR2_20080630.CEL,,XING,Public
0029_TBR3_20080630.CEL,,XING,Public
0030_TBR4_20080630.CEL,,XING,Public
0031_TBR5_20080630.CEL,,XING,Public
0032_TBR6_20080630.CEL,,XING,Public
0033_TBR7_20080630.CEL,,XING,Public
0034_TRB8_20080630.CEL,,XING,Public
0035_TBR10_20080630.CEL,,XING,Public
0036_TBR11_20080630.CEL,,XING,Public
0037_TBR12_20080630.CEL,,XING,Public
0038_TBR13_20080630.CEL,,XING,Public
0039_TBR14_20080630.CEL,,XING,Public
0040_TBR15_20080630.CEL,,XING,Public
0054_F063722_20080711.CEL,,XING,Public
0055_F063728_20080711.CEL,,XING,Public
0056_F063752_20080711.CEL,,XING,Public
0057_F063761_20080711.CEL,,XING,Public
0058_F063763_20080711.CEL,,XING,Public
0059_F063771_20080711.CEL,,XING,Public
0060_F063787_20080711.CEL,,XING,Public
0061_F063791_20080711.CEL,,XING,Public
0062_F063795_20080711.CEL,,XING,Public
0063_F063796_20080711.CEL,,XING,Public
0064_F063803_20080711.CEL,,XING,Public
0065_F063805_20080711.CEL,,XING,Public
0066_F063808_20080711.CEL,,XING,Public
0067_F063821_20080711.CEL,,XING,Public
0068_F063824_20080711.CEL,,XING,Public
0069_F063832_20080716.CEL,,XING,Public
0070_F063834_20080716.CEL,,XING,Public
0071_F063838_20080716.CEL,,XING,Public
0072_F063856_20080716.CEL,,XING,Public
0073_F063863_20080716.CEL,,XING,Public
0074_F063867_20080716.CEL,,XING,Public
0075_F063873_20080716.CEL,,XING,Public
0076_F063880_20080716.CEL,,XING,Public
0149_F063886_20080807.CEL,,XING,Public
0150_F063888_20080807.CEL,,XING,Public
0154_F063348_20080820.CEL,,XING,Public
0165_F063055_20080820.CEL,,XING,Public
0166_F063080_20080820.CEL,,XING,Public
0167_F063068_20080820.CEL,,XING,Public
0168_F063296_20080820.CEL,,XING,Public
0170_F063070_20080820.CEL,,XING,Public
0171_F063081_20080820.CEL,,XING,Public
0172_F063040_20080820.CEL,,XING,Public
0173_F063345_20080820.CEL,,XING,Public
0174_F063098_20080820.CEL,,XING,Public
0175_F063360_20080820.CEL,,XING,Public
0176_F063323_20080820.CEL,,XING,Public
0177_F063448_20080820.CEL,,XING,Public
0178_F063359_20080820.CEL,,XING,Public
0179_F063402_20080820.CEL,,XING,Public
0180_F063397_20080820.CEL,,XING,Public
0206_F063303_20080903.CEL,,XING,Public
0207_F063030_20080903.CEL,,XING,Public
0208_F063423_20080903.CEL,,XING,Public
0209_F063072_20080903.CEL,,XING,Public
0210_F063074_20080903.CEL,,XING,Public
0211_F063447_20080903.CEL,,XING,Public
0212_F063088_20080903.CEL,,XING,Public
0213_F063368_20080903.CEL,,XING,Public
0214_F056802_20080903.CEL,,XING,Public
0077_F071508_20080716.CEL,,XING,Public
0078_F071512_20080716.CEL,,XING,Public
0079_F071533_20080716.CEL,,XING,Public
0080_F071535_20080716.CEL,,XING,Public
0081_F071588_20080716.CEL,,XING,Public
0082_F071597_20080716.CEL,,XING,Public
0083_F071735_20080716.CEL,,XING,Public
0084_F071799_20080716.CEL,,XING,Public
0085_F071805_20080722.CEL,,XING,Public
0086_F071812_20080722.CEL,,XING,Public
0087_F071816_20080722.CEL,,XING,Public
0088_F071817_20080722.CEL,,XING,Public
0089_F071820_20080722.CEL,,XING,Public
0090_F071823_20080722.CEL,,XING,Public
0091_F071824_20080722.CEL,,XING,Public
0092_F071827_20080722.CEL,,XING,Public
0093_F071915_20080722.CEL,,XING,Public
0094_F071949_20080722.CEL,,XING,Public
0095_F071963_20080722.CEL,,XING,Public
0096_F071976_20080722.CEL,,XING,Public
0097_F072084_20080722.CEL,,XING,Public
0098_F072153_20080722.CEL,,XING,Public
0099_F078706_20080722.CEL,,XING,Public
0410_F072171_20090129.CEL,,XING,Public
0414_F071838_20090218.CEL,,XING,Public
0303_F078402_20081202.CEL,625.0,XING,Public
0304_F078351_20081202.CEL,625.0,XING,Public
0305_F078337_20081202.CEL,625.0,XING,Public
0306_F078412_20081202.CEL,625.0,XING,Public
0307_F081373_20081202.CEL,625.0,XING,Public
0308_F081414_20081202.CEL,625.0,XING,Public
0309_F081438_20081202.CEL,625.0,XING,Public
0310_F081459_20081202.CEL,625.0,XING,Public
0311_F081376_20081202.CEL,625.0,XING,Public
0312_F081461_20081202.CEL,625.0,XING,Public
0313_F081419_20081202.CEL,625.0,XING,Public
0314_F081448_20081202.CEL,625.0,XING,Public
0315_F081366_20081202.CEL,625.0,XING,Public
0316_F081455_20081202.CEL,625.0,XING,Public
0317_F081430_20081202.CEL,625.0,XING,Public
0318_F091074_20081202.CEL,625.0,XING,Public
0319_F090751_20081202.CEL,625.0,XING,Public
0320_F090707_20081202.CEL,625.0,XING,Public
0321_F090727_20081202.CEL,625.0,XING,Public
0322_F090754_20081202.CEL,625.0,XING,Public
0323_F092519_20081202.CEL,625.0,XING,Public
0324_SS231506_20081202.CEL,625.0,XING,Public
0325_SS231535_20081202.CEL,625.0,XING,Public
0389_F078379_20090105.CEL,625.0,XING,Public
0404_F078399_20090129.CEL,625.0,XING,Public
30_0246_F069185.CEL,,XING,Public
31_0247_F082478.CEL,,XING,Public
0182_F074908_20080903.CEL,,XING,Public
0184_F075067_20080903.CEL,,XING,Public
0185_F075092_20080903.CEL,,XING,Public
0186_F073495_20080903.CEL,,XING,Public
0187_F073500_20080903.CEL,,XING,Public
0188_F073556_20080903.CEL,,XING,Public
0189_F073540_20080903.CEL,,XING,Public
0190_F074899_20080903.CEL,,XING,Public
0191_F074903_20080903.CEL,,XING,Public
0192_F073480_20080903.CEL,,XING,Public
0193_F073479_20080903.CEL,,XING,Public
0194_F073465_20080903.CEL,,XING,Public
0195_F069209_20080903.CEL,,XING,Public
0196_F067264_20080903.CEL,,XING,Public
0197_F067238_20080903.CEL,,XING,Public
0198_F082481_20080903.CEL,,XING,Public
0199_F082470_20080903.CEL,,XING,Public
0200_F082466_20080903.CEL,,XING,Public
0201_F076291_20080903.CEL,,XING,Public
0202_F076328_20080903.CEL,,XING,Public
0203_F076303_20080903.CEL,,XING,Public
0204_F078117_20080903.CEL,,XING,Public
0409_F069316_20090129.CEL,,XING,Public
0152_F038257_20080820.CEL,631.0,XING,Public
0153_F038211_20080820.CEL,631.0,XING,Public
0155_F037924_20080820.CEL,631.0,XING,Public
0156_F037911_20080820.CEL,631.0,XING,Public
