pop ID,sampling location
Alor,"Alor, Indonesia"
"Amis, Taiwan aborigines","Taitung county, Taiwan"
"Atayal, Taiwan aborigines","Taoyuan and Hsinchu counties, Taiwan"
Besemah,"Sumatra, Indonesia"
Borneo,"Barito River region, Borneo"
Borneo,"Kalimantan, Land Dayak, Borneo"
"Bunun, Taiwan aborigines","Kaohsiung county, Taiwan"
Dravidian speakers,South India
Flores,"Flores, Indonesia"
Fiji,Fiji
Hiri,"Hiri, Indonesia"
Papua New Guinea,Southern Highlands of Papua New Guinea
"Paiwan, Taiwan aborigines","Kaohsiung county, Taiwan"
Mamanwa (Negrito),"Mindanao, Philippines"
Manobo,"Mindanao, Philippines"
"Pingpu, Taiwan aborigines","Pingtung county, Taiwan"
Polynesia,Polynesia
"Puyuma, Taiwan aborigines","Taitung county, Taiwan"
Roti,"Roti, Indonesia"
"Rukai, Taiwan aborigines","Kaohsiung county, Taiwan"
"Saisiat, Taiwan aborigines","Miaoli county, Taiwan"
Semende,"Sumatra, Indonesia"
Ternate,"Ternate, Indonesia"
Timor,"Timor, Indonesia"
"Tsou, Taiwan aborigines","Taitung county, Taiwan"
