,Sample ID,comments 1,comments 2,Population,Group_Population,Region,State / Province / City,Country of origin / collected in,Sampling Location (Cambridgesamples),Continent,Language,Latitude,Longitude,source,chip,wikidata,uncertaintu
0,EthiopiaAm50,,,Ethiopians,Ethiopians,,Amara,Ethiopia,,Africa,,,,Behar et al 2010,660k,,
1,EthiopiaAm52,,,Ethiopians,Ethiopians,,Amara,Ethiopia,,Africa,,,,Behar et al 2010,660k,,
2,EthiopiaAm58,,,Ethiopians,Ethiopians,,Amara,Ethiopia,,Africa,,,,Behar et al 2010,660k,,
3,EthiopiaAm59,,,Ethiopians,Ethiopians,,Amara,Ethiopia,,Africa,,,,Behar et al 2010,660k,,
4,EthiopiaAm76,,,Ethiopians,Ethiopians,,Amara,Ethiopia,,Africa,,,,Behar et al 2010,660k,,
5,EthiopiaAm77,,,Ethiopians,Ethiopians,,Amara,Ethiopia,,Africa,,,,Behar et al 2010,660k,,
6,EthiopiaAm78,,,Ethiopians,Ethiopians,,Amara,Ethiopia,,Africa,,,,Behar et al 2010,660k,,
7,EthiopiaOr41c,,,Ethiopians,Ethiopians,,Oromo,Ethiopia,,Africa,,7.989061,39.381181,Behar et al 2010,660k,Q202107,
8,EthiopiaOr42a,,,Ethiopians,Ethiopians,,Oromo,Ethiopia,,Africa,,7.989061,39.381181,Behar et al 2010,660k,Q202107,
9,EthiopiaOr44b,,,Ethiopians,Ethiopians,,Oromo,Ethiopia,,Africa,,7.989061,39.381181,Behar et al 2010,660k,Q202107,
10,EthiopiaOr45a,,,Ethiopians,Ethiopians,,Oromo,Ethiopia,,Africa,,7.989061,39.381181,Behar et al 2010,660k,Q202107,
11,EthiopiaOr48,,,Ethiopians,Ethiopians,,Oromo,Ethiopia,,Africa,,7.989061,39.381181,Behar et al 2010,660k,Q202107,
12,EthiopiaOr48c,,,Ethiopians,Ethiopians,,Oromo,Ethiopia,,Africa,,7.989061,39.381181,Behar et al 2010,660k,Q202107,
13,EthiopiaOr53b,,,Ethiopians,Ethiopians,,Oromo,Ethiopia,,Africa,,7.989061,39.381181,Behar et al 2010,660k,Q202107,
14,EthiopiaTi5,,,Ethiopians,Ethiopians,,Tigrani,Ethiopia,,Africa,,14.136578,38.309328,Behar et al 2010,660k,Q200127,1.0
15,EthiopiaTi61,,,Ethiopians,Ethiopians,,Tigrani,Ethiopia,,Africa,,14.136578,38.309328,Behar et al 2010,660k,Q200127,1.0
16,EthiopiaTi63,,,Ethiopians,Ethiopians,,Tigrani,Ethiopia,,Africa,,14.136578,38.309328,Behar et al 2010,660k,Q200127,1.0
17,EthiopiaTi69,,,Ethiopians,Ethiopians,,Tigrani,Ethiopia,,Africa,,14.136578,38.309328,Behar et al 2010,660k,Q200127,1.0
18,EthiopiaTi7,,,Ethiopians,Ethiopians,,Tigrani,Ethiopia,,Africa,,14.136578,38.309328,Behar et al 2010,660k,Q200127,1.0
19,GRC12118113,,Israel06,Ethiopian_Jews,Jews,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
20,GRC12118119,,Israel07,Ethiopian_Jews,Jews,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
21,GRC12118092,,Israel26,Ethiopian_Jews,Jews,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
22,eth_jew1,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
23,eth_jew10,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
24,eth_jew11,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
25,eth_jew12,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
26,eth_jew13,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
27,eth_jew14,identical to eth_jew4,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
28,eth_jew2,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
29,eth_jew3,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
30,eth_jew5,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
31,eth_jew6,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
32,eth_jew7,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
33,eth_jew8,,,Ethiopian_Jews,Jews,,,Ethiopia,,Africa,,,,Behar et al 2010,610k,,
34,moroccoA121,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
35,moroccoA57,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
36,moroccoA62,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
37,moroccoA98,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
38,moroccoB17,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
39,moroccoB93,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
40,moroccoC60,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
41,moroccoC61,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
42,moroccoE21,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
43,moroccoE28,,,Moroccans,Moroccans,,,Morocco,,North Africa,,,,Behar et al 2010,660k,,
44,Egypt1,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
45,Egypt10,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
46,Egypt11,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
47,Egypt12,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
48,Egypt2,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
49,Egypt3,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
50,Egypt4,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
51,Egypt5,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
52,Egypt6,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
53,Egypt7,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
54,Egypt8,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
55,Egypt9,,,Egyptans,Egyptans,,,Egypt,,North Africa,,,,Behar et al 2010,610k,,
56,GRC12118083,,Israel09,Arab_Christian,Arab_Christian,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
57,GRC12118084,,Israel17,Arab_Christian,Arab_Christian,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
58,GRC12118127,,Israel24,Arab_Christian,Arab_Christian,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
59,GRC12118120,,Israel15,Arab_Muslim,Arab_Muslim,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
60,GRC12118126,,Israel16,Arab_Muslim,Arab_Muslim,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
61,GRC12118110,,Israel29,Arab_Muslim,Arab_Muslim,,,Israel,,Near East,,,,Behar et al 2013 Khazar,730K,,
62,saudi1403,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
63,saudi1411,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
64,saudi1413,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
65,saudi1424,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
66,saudi1426,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
67,saudi1428b,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
68,saudi1430,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
69,saudi1432,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
70,saudi1434,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
71,saudi1436,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,660k,,
72,SaudiA1,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
73,SaudiA10,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
74,SaudiA2,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
75,SaudiA3,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
76,SaudiA4,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
77,SaudiA5,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
78,SaudiA6,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
79,SaudiA7,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
80,SaudiA8,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
81,SaudiA9,,,Saudis,Saudis,,,Saudi Arabia,,Arabia,,,,Behar et al 2010,610k,,
82,Yemen1,,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
83,Yemen10,,,Yemenese,Yemenese,,,Yemen,,Arabia,,,,Behar et al 2010,610k,,
