HGDPIndividualNumber	PopulationCode	PopulationName	SamplingLocation	GeographicRegionOfPopulation	Sex	InHGDP-CEPHpanel[CannEtAl2002]?	AnalyzedInRosenbergEtAl2002?	PopulationLabelBelievedToBeCorrect?	HasNoDuplicatesInPanel?	AnalyzedInRosenbergEtAl2005[datasetH1048]?	HasNoKnown1stDegreeRelativesInPanel?	HasNoKnown1stOr2ndDegreeRelativesInPanel?	HasAParentOrOffspringInPanel?	IncludedInDataset971[No1stDegreeRelatives]?	IncludedInDataset952[No1stOr2ndDegreeRelatives]?	DuplicationConjugate[OnlyDiffersFromSampleNumberIfSampleIsDuplicated]	AlternatePopulationCode[OnlyDiffersFromPrimaryPopulationCodeForBantuSouthAfrica]	AlternatePopulationName[OnlyDiffersFromPrimaryPopulationNameForBantuSouthAfrica]	OrangeQInRosenbergEtAl2002Fig1K=5	BlueQInRosenbergEtAl2002Fig1K=5	PinkQInRosenbergEtAl2002Fig1K=5	GreenQInRosenbergEtAl2002Fig1K=5	PurpleQInRosenbergEtAl2002Fig1K=5
1	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	1	51	Brahui	0.001	0.995	0.002	0.001	0.001
3	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	3	51	Brahui	0.002	0.99	0.003	0.001	0.004
5	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	5	51	Brahui	0.003	0.865	0.096	0.031	0.006
7	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	7	51	Brahui	0.001	0.889	0.107	0.002	0.002
9	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	9	51	Brahui	0.006	0.902	0.053	0.006	0.033
11	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	11	51	Brahui	0.004	0.972	0.013	0.003	0.008
13	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	13	51	Brahui	0.216	0.761	0.014	0.006	0.003
15	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	15	51	Brahui	0.001	0.878	0.109	0.004	0.008
17	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	17	51	Brahui	0.002	0.984	0.008	0.005	0.001
19	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	19	51	Brahui	0.062	0.912	0.008	0.015	0.002
21	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	21	51	Brahui	0.002	0.994	0.001	0.001	0.002
23	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	23	51	Brahui	0.004	0.934	0.025	0.008	0.029
25	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	25	51	Brahui	0.002	0.867	0.098	0.028	0.004
27	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	27	51	Brahui	0.01	0.957	0.024	0.004	0.005
29	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	29	51	Brahui	0.175	0.688	0.049	0.086	0.002
31	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	31	51	Brahui	0.001	0.975	0.009	0.012	0.003
33	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	33	51	Brahui	0.001	0.991	0.003	0.002	0.003
35	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	35	51	Brahui	0.001	0.903	0.085	0.008	0.003
37	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	37	51	Brahui	0.001	0.95	0.045	0.001	0.003
39	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	39	51	Brahui	0.011	0.968	0.013	0.005	0.003
41	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	41	51	Brahui	0.001	0.983	0.008	0.003	0.005
43	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	43	51	Brahui	0.002	0.99	0.003	0.002	0.002
45	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	45	51	Brahui	0.001	0.991	0.004	0.001	0.003
47	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	47	51	Brahui	0.029	0.88	0.07	0.016	0.004
49	51	Brahui	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	49	51	Brahui	0.002	0.982	0.008	0.004	0.003
52	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	52	50	Balochi	0.002	0.974	0.018	0.005	0.001
54	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	54	50	Balochi	0.001	0.994	0.003	0.001	0.001
56	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	56	50	Balochi	0.001	0.901	0.081	0.011	0.005
57	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	57	50	Balochi	0.053	0.874	0.014	0.057	0.003
58	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	58	50	Balochi	0.004	0.925	0.055	0.007	0.009
60	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	60	50	Balochi	0.13	0.809	0.051	0.007	0.002
62	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	62	50	Balochi	0.009	0.96	0.025	0.006	0.001
64	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	64	50	Balochi	0.001	0.992	0.003	0.002	0.002
66	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	66	50	Balochi	0.001	0.981	0.01	0.003	0.004
68	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	68	50	Balochi	0.001	0.947	0.047	0.003	0.001
70	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	70	50	Balochi	0.003	0.755	0.237	0.002	0.002
72	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	72	50	Balochi	0.011	0.957	0.011	0.013	0.008
74	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	74	50	Balochi	0.005	0.957	0.009	0.027	0.001
76	50	Balochi	Pakistan	CENTRAL_SOUTH_ASIA	m	1	1	1	1	1	1	1	0	1	1	76	50	Balochi	0.135	0.848	0.003	0.013	0.002
