sample ID	pop ID	sampling location
Alor19	Alor	Alor, Indonesia
Alor9	Alor	Alor, Indonesia
AMI20	Amis, Taiwan aborigines	Taitung county, Taiwan
AMI34	Amis, Taiwan aborigines	Taitung county, Taiwan
ATA15	Atayal, Taiwan aborigines	Taoyuan and Hsinchu counties, Taiwan
ATA25	Atayal, Taiwan aborigines	Taoyuan and Hsinchu counties, Taiwan
Bes10	Besemah	Sumatra, Indonesia
Bes13	Besemah	Sumatra, Indonesia
Bes18	Besemah	Sumatra, Indonesia
Bes19	Besemah	Sumatra, Indonesia
Bes2	Besemah	Sumatra, Indonesia
Bes20	Besemah	Sumatra, Indonesia
Bes21	Besemah	Sumatra, Indonesia
Bes22	Besemah	Sumatra, Indonesia
Bes23	Besemah	Sumatra, Indonesia
Bes25	Besemah	Sumatra, Indonesia
BOR_06	Borneo	Barito River region, Borneo
BOR_07	Borneo	Barito River region, Borneo
BOR_08	Borneo	Barito River region, Borneo
BOR_09	Borneo	Barito River region, Borneo
BOR_1	Borneo	Barito River region, Borneo
BOR_10	Borneo	Barito River region, Borneo
BOR_11	Borneo	Barito River region, Borneo
BOR_13	Borneo	Barito River region, Borneo
BOR_15	Borneo	Barito River region, Borneo
BOR_16	Borneo	Barito River region, Borneo
BOR_17	Borneo	Barito River region, Borneo
BOR_18	Borneo	Barito River region, Borneo
BOR_19	Borneo	Barito River region, Borneo
BOR_2	Borneo	Barito River region, Borneo
BOR_20	Borneo	Barito River region, Borneo
BOR_21	Borneo	Barito River region, Borneo
BOR_22	Borneo	Barito River region, Borneo
BOR_23	Borneo	Barito River region, Borneo
BOR_24	Borneo	Barito River region, Borneo
BOR_26	Borneo	Barito River region, Borneo
BOR_3	Borneo	Barito River region, Borneo
BOR_4	Borneo	Barito River region, Borneo
BOR_5	Borneo	Barito River region, Borneo
Bor1_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor10_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor11_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor12_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor15_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor16_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor17_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor19_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor2_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor20_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor21_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor23_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor24_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor25_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor26_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor3_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor30_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor31_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor32_EG	Borneo	Kalimantan, Land Dayak, Borneo
Bor33_EG	Borneo	Kalimantan, Land Dayak, Borneo
BUN06	Bunun, Taiwan aborigines	Kaohsiung county, Taiwan
BUN39	Bunun, Taiwan aborigines	Kaohsiung county, Taiwan
DRA_11	Dravidian speakers	South India
DRA_14	Dravidian speakers	South India
DRA_16	Dravidian speakers	South India
DRA_24	Dravidian speakers	South India
DRA_27	Dravidian speakers	South India
DRA_3	Dravidian speakers	South India
DRA_35	Dravidian speakers	South India
DRA_4	Dravidian speakers	South India
DRA_59	Dravidian speakers	South India
DRA_62	Dravidian speakers	South India
DRA_67	Dravidian speakers	South India
DRA_68	Dravidian speakers	South India
DRA_76	Dravidian speakers	South India
F15	Flores	Flores, Indonesia
FIJ_1	Fiji	Fiji
FIJ_10	Fiji	Fiji
FIJ_11	Fiji	Fiji
FIJ_12	Fiji	Fiji
FIJ_13	Fiji	Fiji
FIJ_14	Fiji	Fiji
FIJ_15	Fiji	Fiji
FIJ_16	Fiji	Fiji
FIJ_17	Fiji	Fiji
FIJ_18	Fiji	Fiji
FIJ_19	Fiji	Fiji
FIJ_2	Fiji	Fiji
FIJ_20	Fiji	Fiji
FIJ_21	Fiji	Fiji
FIJ_22	Fiji	Fiji
FIJ_23	Fiji	Fiji
FIJ_24	Fiji	Fiji
FIJ_25	Fiji	Fiji
FIJ_3	Fiji	Fiji
FIJ_4	Fiji	Fiji
FIJ_5	Fiji	Fiji
FIJ_6	Fiji	Fiji
FIJ_7	Fiji	Fiji
FIJ_8	Fiji	Fiji
FIJ_9	Fiji	Fiji
H14	Hiri	Hiri, Indonesia
H20	Hiri	Hiri, Indonesia
H24	Hiri	Hiri, Indonesia
H25	Hiri	Hiri, Indonesia
H26	Hiri	Hiri, Indonesia
H3	Hiri	Hiri, Indonesia
H8	Hiri	Hiri, Indonesia
MEL_06	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_07	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_08	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_09	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_1	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_10	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_11	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_12	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_13	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_14	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_15	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_16	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_17	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_18	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_19	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_2	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_20	Papua New Guinea	Southern Highlands of Papua New Guinea
MEL_21	Papua New Guinea	Southern Highlands of Papua New Guinea
