Simple Population ID,Verbose Population ID,Region,Country,Lat-itude,Lon-gi-tude,Sam-ples,Passed QC,Contributor
Ain_Touta_WGA,Ain_Touta_WGA,Africa,Algeria,35.4,5.9,3,0,Mark G. Thomas / Leila Laredj
Algerian,Algerian,Africa,Algeria,36.8,3,7,7,David Comas
Mozabite,Mozabite,Africa,Algeria,32,3,27,21,Patterson et al. 2012
BantuSA,Bantu_SA_Ovambo,Africa,Angola,-19,18,1,1,Patterson et al. 2012
Gana,Gana,Africa,Botswana,-21.7,23.4,9,8,Pickrell et al. 2012 and 2014
Gui,Gui,Africa,Botswana,-21.5,23.3,11,7,Pickrell et al. 2012 and 2014
Hoan,Hoan,Africa,Botswana,-24,23.4,7,7,Pickrell et al. 2012 and 2014
Ju_hoan_South,Ju_hoan_South,Africa,Botswana,-21.2,20.7,9,6,Pickrell et al. 2012 and 2014
Kgalagadi,Kgalagadi,Africa,Botswana,-24.8,21.8,5,5,Pickrell et al. 2012 and 2014
Khwe,Khwe,Africa,Botswana,-18.4,21.9,10,8,Pickrell et al. 2012 and 2014
Naro,Naro,Africa,Botswana,-22,21.6,10,8,Pickrell et al. 2012 and 2014
Shua,Shua,Africa,Botswana,-20.6,25.3,10,9,Pickrell et al. 2012 and 2014
Taa_East,Taa_East,Africa,Botswana,-24.2,22.8,8,7,Pickrell et al. 2012 and 2014
Taa_North,Taa_North,Africa,Botswana,-23,22.4,11,9,Pickrell et al. 2012 and 2014
Taa_West,Taa_West,Africa,Botswana,-23.6,20.3,17,16,Pickrell et al. 2012 and 2014
Tshwa,Tshwa,Africa,Botswana,-21,25.9,9,5,Pickrell et al. 2012 and 2014
Tswana,Tswana,Africa,Botswana,-24.1,25.4,5,5,Pickrell et al. 2012 and 2014
BantuSA,Bantu_SA_Herero,Africa,BotswanaOrNamibia,-22,19,2,2,Patterson et al. 2012
BantuSA,Bantu_SA_Tswana,Africa,BotswanaOrNamibia,-28,24,2,2,Patterson et al. 2012
Biaka,BiakaPygmy,Africa,CentralAfricanRepublic,4,17,23,20,Patterson et al. 2012
Mbuti,MbutiPygmy,Africa,Congo,1,29,14,10,Patterson et al. 2012
Egyptian,Egyptian_Comas,Africa,Egypt,31,31.2,14,11,David Comas / Pierre Zalloua
Egyptian,Egyptian_Metspalu,Africa,Egypt,30.2,31.2,8,7,Mait Metspalu / Richard Villems / Leila Laredj / Ene Metspalu
Afar_WGA,Afar_WGA,Africa,Ethiopia,11.8,41.4,5,0,Mark G. Thomas / Ayele Tarekegn
Ethiopian_Jew,Ethiopian_Jew,Africa,Ethiopia,9,38.7,7,7,The National Laboratory for the Genetics of Israeli Populations 
Oromo,Oromo,Africa,Ethiopia,9,36.5,5,4,Anna Di Rienzo* / Cynthia Beall* / Amha Gebremedhin*
Gambian,Gambian_GWD,Africa,Gambia,13.4,16.7,6,6,Coriell Cell Repositories
BantuKenya,BantuKenya,Africa,Kenya,-3,37,11,6,Patterson et al. 2012
