,sampleId,popId,latitude,longitude,accuracy,wasDerivedFrom,used,originalId,permissions
1,TB004,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB004,private
2,TB011,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB011,private
3,TB012,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB012,private
4,TB015,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB015,private
5,TB032,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB032,private
6,TB034,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB034,private
7,TB035,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB035,private
8,TB037,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB037,private
9,TB038,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB038,private
10,TB039,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB039,private
11,TB045,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB045,private
12,TB047,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB047,private
13,TB048,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB048,private
14,TB049,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB049,private
15,TB050,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB050,private
16,TB054,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB054,private
17,TB055,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB055,private
18,TB056,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB056,private
19,TB057,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB057,private
20,TB058,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB058,private
21,TB059,TBB_Nachu,31.48,92.06,0,Bigham2010,Affy6,TB059,private
22,TB113,TBB_Nyingchi,29.65,94.36,0,Bigham2010,Affy6,TB113,private
23,TB152,TBB_Nyingchi,29.65,94.36,0,Bigham2010,Affy6,TB152,private
24,TB154,TBB_Nyingchi,29.65,94.36,0,Bigham2010,Affy6,TB154,private
25,TB157,TBB_Nyingchi,29.65,94.36,0,Bigham2010,Affy6,TB157,private
26,TB173,TBB_Nyingchi,29.65,94.36,0,Bigham2010,Affy6,TB173,private
27,TB175,TBB_Nyingchi,29.65,94.36,0,Bigham2010,Affy6,TB175,private
28,TB062,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB062,private
29,TB066,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB066,private
30,TB072,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB072,private
31,TB077,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB077,private
32,TB078,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB078,private
33,TB086,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB086,private
34,TB090,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB090,private
35,TB092,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB092,private
36,TB094,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB094,private
37,TB095,TBB_Shannan,29.23,91.77,0,Bigham2010,Affy6,TB095,private
